"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-04-28",54761,2078,3798,13562,2014,56034,117168,4895781,193334,252,4760,1016930,25234,56,6107371,223455
"2020-04-27",52683,1290,3720,13812,2245,56183,115154,4702447,160363,252,4867,991696,22407,56,5883916,190760
"2020-04-26",51393,1219,2571,14093,2215,56161,112909,4542084,174179,227,5119,969289,27314,56,5693156,201755
"2020-04-25",50174,1629,2516,14411,2297,57340,110694,4367905,230628,227,5266,941975,35734,56,5491401,273816
"2020-04-24",48545,1974,2468,14623,2388,57370,108397,4137277,202817,227,5194,906241,34226,56,5217585,240236
"2020-04-23",46571,1809,2428,14737,2820,59214,106009,3934460,168739,227,5463,872015,31953,56,4977349,211976
"2020-04-22",44762,2085,2370,15016,3086,59207,103189,3765721,297131,227,5474,840062,29176,56,4765373,342268
"2020-04-21",42677,2479,2315,14945,2736,59779,100103,3468590,127479,214,5514,810886,26039,56,4423105,167615
"2020-04-20",40198,1816,2193,14463,2309,56721,97367,3341111,115555,214,5569,784847,25967,56,4255490,145242
"2020-04-19",38382,1763,2145,14385,2177,56497,95058,3225556,126794,214,5603,758880,27523,56,4110248,147079
"2020-04-18",36619,1895,2096,14764,3440,57799,92881,3098762,124365,205,5733,731357,27950,56,3963169,167581
"2020-04-17",34724,2118,2052,14910,3366,58892,89441,2974397,127290,187,6098,703407,31984,56,3795588,168205
"2020-04-16",32606,2194,1834,15136,3172,59496,86075,2847107,139243,176,5940,671423,31527,56,3627383,181575
"2020-04-15",30412,2545,1783,14639,3502,59930,82903,2707864,113276,223,6033,639896,29921,56,3445808,151219
"2020-04-14",27867,2352,1715,14047,3172,59610,79401,2594588,122441,221,5981,609975,25874,56,3294589,158715
"2020-04-13",25515,1633,1622,13605,4491,56211,76229,2472147,102036,208,6170,584101,24281,56,3135874,125166
"2020-04-12",23882,1700,1449,13597,3322,55294,71738,2370111,110675,158,5962,559820,28115,56,3010708,139115
"2020-04-11",22182,2075,1399,13293,3735,55563,68416,2259436,114114,152,5986,531705,31263,56,2871593,147878
"2020-04-10",20107,2083,1179,12693,4911,53167,64681,2145322,119625,39,5937,500442,33608,56,2723715,158988
"2020-04-09",18024,2051,918,12445,3829,51323,59770,2025697,140287,39,5798,466834,35116,56,2564727,175128
"2020-04-08",15973,2003,862,10276,4387,45359,55941,1885410,121955,39,4142,431718,30959,56,2389599,163528
"2020-04-07",13970,2038,738,9978,2931,43849,51554,1763455,129165,43,4047,400759,30476,56,2226071,165451
"2020-04-06",11932,1314,663,7079,2962,36159,48623,1634290,116085,39,2961,370283,28243,56,2060620,138463
"2020-04-05",10618,1342,609,5811,3953,32180,45661,1518205,89342,39,650,342040,25910,56,1922157,122326
"2020-04-04",9276,1478,403,5500,4993,30456,41708,1428863,198249,39,656,316130,33058,56,1799831,232397
"2020-04-03",7798,1287,335,4928,4621,25723,36715,1230614,105383,39,623,283072,31890,56,1567434,139726
"2020-04-02",6511,1175,305,4513,4164,22995,32094,1125231,97149,32,576,251182,28063,56,1427708,126839
"2020-04-01",5336,1006,256,3937,4148,20906,27930,1028082,87552,32,561,223119,26271,56,1300869,119541
"2020-03-31",4330,908,230,3487,3995,18155,23782,940530,88782,,506,196848,24937,56,1181328,115331
"2020-03-30",3422,585,187,3087,2473,15892,19787,851748,88108,,449,171911,21202,56,1065997,102532
"2020-03-29",2837,505,156,2456,2797,14055,17314,763640,68748,,433,150709,19664,56,963465,84272
"2020-03-28",2332,551,140,2174,2406,12393,14517,694892,104841,,390,131045,19771,56,879193,110937
"2020-03-27",1781,410,124,1792,2589,10887,12111,590051,83282,,293,111274,19254,56,768256,99749
"2020-03-26",1371,313,91,1299,2449,7805,9522,506769,82757,,258,92020,17616,56,668507,105660
"2020-03-25",1058,241,74,,1954,5140,7073,424012,76276,,167,74404,12631,56,562847,82632
"2020-03-24",817,236,,,1186,3938,5119,347736,64244,,,61773,10882,56,480215,80042
"2020-03-23",581,101,,,950,2812,3933,283492,47039,,,50891,11192,56,400173,59711
"2020-03-22",480,145,,,962,2173,2983,236453,34743,,,39699,9223,56,340462,50747
"2020-03-21",335,62,,,1849,1492,2021,201710,44214,,,30476,6932,56,289715,55955
"2020-03-20",273,70,,,44,1042,172,157496,31330,,,23544,6102,56,233760,47796
"2020-03-19",203,51,,,34,617,128,126166,27007,,,17442,4614,56,185964,39647
"2020-03-18",152,28,,,18,416,94,99159,21097,,,12828,3357,56,146317,32706
"2020-03-17",124,24,,,33,325,76,78062,17855,,,9471,2088,56,113611,26689
"2020-03-16",100,21,,,6,,43,60207,20010,,,7383,1715,56,86922,25386
"2020-03-15",79,15,,,10,,37,40197,6491,,,5668,1289,51,61536,10084
"2020-03-14",64,8,,,4,,27,33706,6261,,,4379,1025,51,51452,10055
"2020-03-13",56,5,,,6,,23,27445,6814,,,3354,843,51,41397,10084
"2020-03-12",51,8,,,5,,17,20631,5678,,,2511,683,51,31313,7002
"2020-03-11",43,6,,,3,,12,14953,3915,,,1828,420,51,24311,4749
"2020-03-10",37,2,,,0,,9,11038,2685,,,1408,388,51,19562,3221
"2020-03-09",35,4,,,3,,9,8353,1771,,,1020,276,51,16341,2157
"2020-03-08",31,4,,,0,,6,6582,908,,,744,170,51,14184,1173
"2020-03-07",27,1,,,0,,6,5674,744,,,574,137,51,13011,981
"2020-03-06",26,6,,,1,,6,4930,2053,,,437,132,39,12030,2239
"2020-03-05",20,4,,,1,,5,2877,1489,,,305,65,30,9791,1594
"2020-03-04",16,2,,,4,,4,1388,936,,,240,126,24,8197,1026
"2020-03-03",14,3,,,0,,,452,209,,,114,42,14,7171,298
"2020-03-02",11,3,,,0,,,243,158,,,72,30,11,6873,212
"2020-03-01",8,3,,,0,,,85,61,,,42,24,10,6661,109
"2020-02-29",5,1,,,0,,,24,24,,,18,3,7,6552,62
"2020-02-28",4,2,,,0,,,0,0,,,15,2,7,6490,3
"2020-02-27",2,0,,,0,,,0,0,,,13,1,7,6487,6446
"2020-02-26",2,2,,,0,,,0,0,,,12,2,6,41,0
"2020-02-25",0,0,,,0,,,0,0,,,10,1,6,41,1
"2020-02-24",0,0,,,0,,,0,0,,,9,1,6,40,2
"2020-02-23",0,0,,,0,,,0,0,,,8,1,6,38,0
"2020-02-22",0,0,,,0,,,0,0,,,7,0,6,38,1
"2020-02-21",0,0,,,0,,,0,0,,,7,0,6,37,1
"2020-02-20",0,0,,,0,,,0,0,,,7,0,6,36,1
"2020-02-19",0,0,,,0,,,0,0,,,7,0,6,35,6
"2020-02-18",0,0,,,0,,,0,0,,,7,0,6,29,0
"2020-02-17",0,0,,,0,,,0,0,,,7,0,6,29,1
"2020-02-16",0,0,,,0,,,0,0,,,7,0,6,28,2
"2020-02-15",0,0,,,0,,,0,0,,,7,0,6,26,4
"2020-02-14",0,0,,,0,,,0,0,,,7,1,5,22,0
"2020-02-13",0,0,,,0,,,0,0,,,6,1,5,22,1
"2020-02-12",0,0,,,0,,,0,0,,,5,0,5,21,1
"2020-02-11",0,0,,,0,,,0,0,,,5,0,5,20,1
"2020-02-10",0,0,,,0,,,0,0,,,5,0,5,19,1
"2020-02-09",,0,,,0,,,0,0,,,5,0,4,18,0
"2020-02-08",,0,,,0,,,0,0,,,5,0,4,18,2
"2020-02-07",,0,,,0,,,0,0,,,5,0,4,16,0
"2020-02-06",,0,,,0,,,0,0,,,5,2,4,16,1
"2020-02-05",,0,,,0,,,0,0,,,3,0,4,15,0
"2020-02-04",,0,,,0,,,0,0,,,3,0,4,15,4
"2020-02-03",,0,,,0,,,0,0,,,3,1,4,11,3
"2020-02-02",,0,,,0,,,0,0,,,2,0,4,8,0
"2020-02-01",,0,,,0,,,0,0,,,2,0,4,8,0
"2020-01-31",,0,,,0,,,0,0,,,2,0,4,8,3
"2020-01-30",,0,,,0,,,0,0,,,2,0,4,5,0
"2020-01-29",,0,,,0,,,0,0,,,2,0,4,5,2
"2020-01-28",,0,,,0,,,0,0,,,2,0,3,3,0
"2020-01-27",,0,,,0,,,0,0,,,2,0,3,3,1
"2020-01-26",,0,,,0,,,0,0,,,2,0,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,2,0,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,2,0,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,2,0,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,2,0,2,1,1
"2020-01-21",,0,,,0,,,,0,,,2,1,1,0,0
"2020-01-20",,0,,,0,,,,0,,,1,0,1,0,0
"2020-01-19",,0,,,0,,,,0,,,1,1,1,0,0
"2020-01-18",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-17",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-16",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-15",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-14",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-13",,0,,,0,,,,0,,,,0,1,0,0
